user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
850574,193,9,2023-04-29,2023-05-27,28,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3944.0,271.0,2.0,450,139,0.3088888888888889,311
850582,468,11,2023-04-29,2023-05-09,10,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3940.0,271.0,2.0,48,4,0.08333333333333333,44
850601,397,15,2023-04-29,2023-07-11,73,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,233.0,271.0,1.0,198,73,0.3686868686868687,125
850606,97,5,2023-04-29,2023-05-03,4,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3966.0,271.0,2.0,170,6,0.03529411764705882,164
850610,243,10,2023-04-28,2023-05-18,20,2023-04-28,0.56,50 이상,50 이상,,M,3959.0,271.0,2.0,262,135,0.5152671755725191,127
850615,438,10,2023-04-28,2023-06-07,40,2023-04-28,0.56,50 이상,50 이상,,M,4127.0,271.0,1.0,525,240,0.45714285714285713,285
850633,348,18,2023-04-28,2023-05-21,23,2023-04-28,0.56,50 이상,50 이상,,F,3946.0,271.0,2.0,236,34,0.1440677966101695,202
850668,165,10,2023-04-28,2023-07-28,91,2023-04-28,0.56,50 이상,50 이상,,M,3947.0,271.0,2.0,234,95,0.405982905982906,139
850695,90,3,2023-04-28,2023-04-30,2,2023-04-28,0.56,50 이상,50 이상,,M,757.0,271.0,2.0,245,109,0.4448979591836735,136
850699,504,18,2023-04-28,2023-05-17,19,2023-04-28,0.56,50 이상,50 이상,,M,3939.0,271.0,2.0,318,127,0.39937106918238996,191
850710,292,13,2023-04-28,2023-05-24,26,2023-04-28,0.56,50 이상,50 이상,,M,4048.0,271.0,2.0,389,223,0.5732647814910026,166
850718,192,8,2023-04-28,2023-05-06,8,2023-04-28,0.56,50 이상,50 이상,,M,3947.0,271.0,2.0,162,59,0.36419753086419754,103
850719,168,8,2023-04-28,2023-05-06,8,2023-04-28,0.56,50 이상,50 이상,,M,3947.0,271.0,2.0,193,57,0.29533678756476683,136
850728,408,15,2023-04-28,2023-05-29,31,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0,190,47,0.24736842105263157,143
850736,271,8,2023-04-28,2023-05-06,8,2023-04-28,0.56,50 이상,50 이상,,F,757.0,271.0,2.0,185,37,0.2,148
850737,88,9,2023-04-28,2023-05-09,11,2023-04-28,0.56,50 이상,50 이상,,M,603.0,271.0,2.0,62,11,0.1774193548387097,51
850755,49,6,2023-04-28,2023-05-10,12,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0,70,30,0.42857142857142855,40
850761,723,11,2023-04-28,2023-06-18,51,2023-04-28,0.56,50 이상,50 이상,,F,3944.0,271.0,2.0,365,109,0.29863013698630136,256
850774,215,10,2023-04-29,2023-06-19,51,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,4296.0,271.0,1.0,456,86,0.18859649122807018,370
850811,51,7,2023-04-28,2023-05-05,7,2023-04-28,0.56,50 이상,50 이상,,F,3950.0,271.0,2.0,114,13,0.11403508771929824,101
850832,1,1,2023-05-07,2023-05-07,0,2023-05-07,0.3904761904761905,50 미만,,50 미만,F,4321.0,271.0,1.0,65,19,0.2923076923076923,46
850866,135,7,2023-04-29,2023-05-09,10,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,604,210,0.347682119205298,394
850870,35,5,2023-04-29,2023-05-06,7,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3946.0,271.0,2.0,187,69,0.3689839572192513,118
850878,592,23,2023-04-29,2023-05-27,28,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3939.0,271.0,2.0,214,48,0.22429906542056074,166
850903,67,6,2023-04-29,2023-05-07,8,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3942.0,271.0,2.0,172,44,0.2558139534883721,128
850948,458,11,2023-04-29,2023-05-10,11,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,603.0,271.0,2.0,402,152,0.3781094527363184,250
850949,137,5,2023-04-29,2023-05-04,5,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3959.0,271.0,2.0,105,50,0.47619047619047616,55
850966,70,6,2023-05-07,2023-05-26,19,2023-05-07,0.3904761904761905,50 미만,,50 미만,F,3940.0,271.0,2.0,18,0,0.0,18
850986,268,8,2023-04-29,2023-05-28,29,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3942.0,271.0,2.0,254,79,0.3110236220472441,175
851144,272,9,2023-04-29,2023-05-10,11,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,4144.0,271.0,1.0,169,14,0.08284023668639054,155
851219,155,4,2023-04-29,2023-05-07,8,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,757.0,271.0,2.0,284,42,0.14788732394366197,242
851226,40,1,2023-04-29,2023-04-29,0,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3959.0,271.0,2.0,152,26,0.17105263157894737,126
851250,567,22,2023-04-29,2023-07-12,74,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,603.0,271.0,2.0,182,103,0.5659340659340659,79
851251,1,1,2023-05-03,2023-05-03,0,2023-05-03,0.42297650130548303,50 미만,,50 미만,M,3966.0,271.0,2.0,28,8,0.2857142857142857,20
